date_key,full_date,year,month,day
20180101,2018-01-01,2018,1,1
20180102,2018-01-02,2018,1,2
20180103,2018-01-03,2018,1,3
20180104,2018-01-04,2018,1,4
20180105,2018-01-05,2018,1,5
20180106,2018-01-06,2018,1,6
20180107,2018-01-07,2018,1,7
20180108,2018-01-08,2018,1,8
20180109,2018-01-09,2018,1,9
20180110,2018-01-10,2018,1,10
20180111,2018-01-11,2018,1,11
20180112,2018-01-12,2018,1,12
20180113,2018-01-13,2018,1,13
20180114,2018-01-14,2018,1,14
20180115,2018-01-15,2018,1,15
20180116,2018-01-16,2018,1,16
20180117,2018-01-17,2018,1,17
20180118,2018-01-18,2018,1,18
20180119,2018-01-19,2018,1,19
20180120,2018-01-20,2018,1,20
20180121,2018-01-21,2018,1,21
20180122,2018-01-22,2018,1,22
20180123,2018-01-23,2018,1,23
20180124,2018-01-24,2018,1,24
20180125,2018-01-25,2018,1,25
20180126,2018-01-26,2018,1,26
20180127,2018-01-27,2018,1,27
20180128,2018-01-28,2018,1,28
20180129,2018-01-29,2018,1,29
20180130,2018-01-30,2018,1,30
20180131,2018-01-31,2018,1,31
20180201,2018-02-01,2018,2,1
20180202,2018-02-02,2018,2,2
20180203,2018-02-03,2018,2,3
20180204,2018-02-04,2018,2,4
20180205,2018-02-05,2018,2,5
20180206,2018-02-06,2018,2,6
20180207,2018-02-07,2018,2,7
20180208,2018-02-08,2018,2,8
20180209,2018-02-09,2018,2,9
20180210,2018-02-10,2018,2,10
20180211,2018-02-11,2018,2,11
20180212,2018-02-12,2018,2,12
20180213,2018-02-13,2018,2,13
20180214,2018-02-14,2018,2,14
20180215,2018-02-15,2018,2,15
20180216,2018-02-16,2018,2,16
20180217,2018-02-17,2018,2,17
20180218,2018-02-18,2018,2,18
20180219,2018-02-19,2018,2,19
20180220,2018-02-20,2018,2,20
20180221,2018-02-21,2018,2,21
20180222,2018-02-22,2018,2,22
20180223,2018-02-23,2018,2,23
20180224,2018-02-24,2018,2,24
20180225,2018-02-25,2018,2,25
20180226,2018-02-26,2018,2,26
20180227,2018-02-27,2018,2,27
20180228,2018-02-28,2018,2,28
20180301,2018-03-01,2018,3,1
20180302,2018-03-02,2018,3,2
20180303,2018-03-03,2018,3,3
20180304,2018-03-04,2018,3,4
20180305,2018-03-05,2018,3,5
20180306,2018-03-06,2018,3,6
20180307,2018-03-07,2018,3,7
20180308,2018-03-08,2018,3,8
20180309,2018-03-09,2018,3,9
20180310,2018-03-10,2018,3,10
20180311,2018-03-11,2018,3,11
20180312,2018-03-12,2018,3,12
20180313,2018-03-13,2018,3,13
20180314,2018-03-14,2018,3,14
20180315,2018-03-15,2018,3,15
20180316,2018-03-16,2018,3,16
20180317,2018-03-17,2018,3,17
20180318,2018-03-18,2018,3,18
20180319,2018-03-19,2018,3,19
20180320,2018-03-20,2018,3,20
20180321,2018-03-21,2018,3,21
20180322,2018-03-22,2018,3,22
20180323,2018-03-23,2018,3,23
20180324,2018-03-24,2018,3,24
20180325,2018-03-25,2018,3,25
20180326,2018-03-26,2018,3,26
20180327,2018-03-27,2018,3,27
20180328,2018-03-28,2018,3,28
20180329,2018-03-29,2018,3,29
20180330,2018-03-30,2018,3,30
20180331,2018-03-31,2018,3,31
20180401,2018-04-01,2018,4,1
20180402,2018-04-02,2018,4,2
20180403,2018-04-03,2018,4,3
20180404,2018-04-04,2018,4,4
20180405,2018-04-05,2018,4,5
20180406,2018-04-06,2018,4,6
20180407,2018-04-07,2018,4,7
20180408,2018-04-08,2018,4,8
20180409,2018-04-09,2018,4,9
20180410,2018-04-10,2018,4,10
20180411,2018-04-11,2018,4,11
20180412,2018-04-12,2018,4,12
20180413,2018-04-13,2018,4,13
20180414,2018-04-14,2018,4,14
20180415,2018-04-15,2018,4,15
20180416,2018-04-16,2018,4,16
20180417,2018-04-17,2018,4,17
20180418,2018-04-18,2018,4,18
20180419,2018-04-19,2018,4,19
20180420,2018-04-20,2018,4,20
20180421,2018-04-21,2018,4,21
20180422,2018-04-22,2018,4,22
20180423,2018-04-23,2018,4,23
20180424,2018-04-24,2018,4,24
20180425,2018-04-25,2018,4,25
20180426,2018-04-26,2018,4,26
20180427,2018-04-27,2018,4,27
20180428,2018-04-28,2018,4,28
20180429,2018-04-29,2018,4,29
20180430,2018-04-30,2018,4,30
20180501,2018-05-01,2018,5,1
20180502,2018-05-02,2018,5,2
20180503,2018-05-03,2018,5,3
20180504,2018-05-04,2018,5,4
20180505,2018-05-05,2018,5,5
20180506,2018-05-06,2018,5,6
20180507,2018-05-07,2018,5,7
20180508,2018-05-08,2018,5,8
20180509,2018-05-09,2018,5,9
20180510,2018-05-10,2018,5,10
