candidate_key,date_key,seniority_key,technology_key,years_of_experience,code_challenge_score,technical_interview_score,hired_flag
30521,20210226,2,5,2,3.0,3.0,0
49615,20210909,2,5,10,2.0,10.0,0
38459,20200414,5,4,4,10.0,9.0,1
15598,20201001,7,17,25,7.0,1.0,0
35951,20200520,5,22,13,9.0,7.0,1
26226,20190817,3,1,8,2.0,9.0,0
1107,20180518,7,18,19,2.0,9.0,0
32824,20211209,4,15,1,2.0,5.0,0
11036,20180313,4,22,18,7.0,10.0,1
13927,20220408,4,13,25,2.0,0.0,0
47382,20190922,2,9,24,4.0,9.0,0
39694,20200715,4,13,28,7.0,4.0,0
35572,20211227,5,19,3,5.0,10.0,0
25766,20200509,3,23,16,7.0,8.0,1
9670,20191012,1,20,18,4.0,1.0,0
9038,20181018,5,14,21,4.0,6.0,0
26257,20200325,1,22,28,5.0,5.0,0
13967,20210523,6,22,19,3.0,5.0,0
32060,20180502,7,10,20,4.0,2.0,0
12726,20210413,1,1,3,2.0,3.0,0
13807,20190321,1,14,29,0.0,2.0,0
29811,20200712,4,21,11,4.0,1.0,0
7008,20210109,3,14,14,8.0,8.0,1
14533,20210727,5,8,24,7.0,5.0,0
45280,20191118,1,13,3,5.0,6.0,0
11608,20180425,4,22,6,8.0,4.0,0
29385,20200126,4,7,5,8.0,10.0,1
33581,20211204,3,20,21,6.0,8.0,0
2786,20220105,7,2,0,1.0,4.0,0
29041,20201128,3,15,0,5.0,1.0,0
3436,20190525,5,20,25,5.0,0.0,0
1216,20180921,6,8,13,3.0,7.0,0
27767,20180304,1,15,29,3.0,6.0,0
39898,20210819,2,4,20,10.0,0.0,0
39682,20180821,6,1,9,8.0,8.0,1
45417,20200624,4,13,17,4.0,2.0,0
4937,20180313,6,11,9,3.0,5.0,0
34618,20190107,2,12,27,8.0,0.0,0
29355,20220126,2,10,9,10.0,4.0,0
13954,20191216,2,3,4,2.0,2.0,0
44112,20220325,4,12,8,4.0,0.0,0
11462,20181004,7,6,26,3.0,3.0,0
13094,20191202,4,21,4,3.0,6.0,0
33922,20200910,6,20,18,5.0,0.0,0
45612,20210307,5,13,27,0.0,0.0,0
32556,20210705,5,11,13,6.0,5.0,0
15809,20210409,3,13,11,7.0,8.0,1
42855,20190426,2,14,11,2.0,8.0,0
6951,20201224,6,1,10,6.0,2.0,0
30869,20210328,4,2,28,2.0,9.0,0
33550,20200923,3,13,30,8.0,7.0,1
21174,20180305,1,12,24,2.0,8.0,0
34417,20210626,6,14,26,5.0,5.0,0
41336,20220227,6,20,18,10.0,10.0,1
28560,20220326,1,5,3,9.0,2.0,0
38191,20181026,7,2,19,10.0,7.0,1
13786,20210906,4,14,18,8.0,5.0,0
226,20211001,4,10,27,6.0,1.0,0
27677,20180611,1,9,27,3.0,8.0,0
22846,20210101,5,19,4,9.0,4.0,0
19498,20190604,3,21,11,6.0,5.0,0
31635,20180828,4,18,4,6.0,3.0,0
42775,20180430,3,8,5,5.0,7.0,0
28208,20220113,4,16,21,5.0,10.0,0
1132,20210124,4,21,30,9.0,8.0,1
43880,20180525,4,2,7,2.0,2.0,0
30811,20200126,7,24,18,4.0,1.0,0
41437,20210718,5,18,25,10.0,5.0,0
24338,20220411,7,17,9,4.0,3.0,0
38828,20211014,3,11,30,9.0,3.0,0
14819,20180908,5,22,19,7.0,5.0,0
17022,20200102,1,2,29,5.0,6.0,0
800,20191220,1,1,10,8.0,3.0,0
30362,20210711,1,19,19,10.0,6.0,0
5053,20180717,7,14,16,5.0,0.0,0
